produktnavn;pris;URL;bildeURL;produktkategori;stock_status;produktbeskrivelse;
Toslink/Optisk Kabel;89;https://adaptere.no/produkter/toslink-optisk-kabel;https://adaptere.no/productImages/toslink-optisk-kabel.jpg;lyd;in_stock;Toslink / Optisk digitalkabel. Brukes til digital overføring av lyd.;

USB 3.0 Kabel;69;https://adaptere.no/produkter/usb-kabel;https://adaptere.no/productImages/usb-kabel.jpg;usb;in_stock;Standard USB kabel. Teoretisk overføringshastighet på opp til 5Gbps (10x hastigheten på USB 2.0).;

USB Extension Adapter;59;https://adaptere.no/produkter/usb-extension-adapter;https://adaptere.no/productImages/usb-extension-adapter.jpg;usb;in_stock;Kan brukes for å skjøte sammen et par USB kabler. Er bakoverkompatibel med eldre USB versjoner.;

USB til USB-C Adapter;89;https://adaptere.no/produkter/usb-til-usb-c-adapter;https://adaptere.no/productImages/usb-til-usb-c-adapter.jpg;usb;in_stock;Vanlig USB til USB-C adapter. Spesielt hendig på nyere utstyr med de nye USB-C portene.;

USB til Xbox 360 Adapter;89;https://adaptere.no/produkter/usb-til-xbox-360-adapter;https://adaptere.no/productImages/usb-til-xbox-360-adapter.jpg;usb;in_stock;USB til Xbox 360 kontroller kabel. Gjør det mulig å koble din kablede Xbox 360 kontroller til PC / Mac.;

USB Vinkel Adapter;59;https://adaptere.no/produkter/usb-vinkel-adapter;https://adaptere.no/productImages/usb-vinkel-adapter.jpg;usb;in_stock;USB 3.0. Egner seg godt til bruk i trange applikasjoner, som f.eks bak en flat-tv eller lignende.;

USB-B Kabel;79;https://adaptere.no/produkter/usb-b-kabel;https://adaptere.no/productImages/usb-b-kabel.jpg;usb;in_stock;Mye brukt i skrivere/printere, studioutstyr mm.;

USB-C Kabel;129;https://adaptere.no/produkter/usb-c-kabel;https://adaptere.no/productImages/usb-c-kabel.jpg;usb;in_stock;Robust USB-C kabel av god kvalitet. Høy ladekapasitet på 2,4 A, og opptil 480 Mbps dataoverføring.;

USB-C til USB Adapter;79;https://adaptere.no/produkter/usb-c-til-usb-adapter;https://adaptere.no/productImages/usb-c-til-usb-adapter.jpg;usb;in_stock;Overgang fra USB-C til vanlig USB. ;

VGA Kabel;89;https://adaptere.no/produkter/vga-kabel;https://adaptere.no/productImages/vga-kabel.jpg;bilde;in_stock;Robust VGA kabel av god kvalitet.;

VGA til DVI Adapter;69;https://adaptere.no/produkter/vga-til-dvi-adapter;https://adaptere.no/productImages/vga-til-dvi-adapter.jpg;bilde;in_stock;VGA (hunn) til DVI (hann) adapter. Kan brukes som overgang mellom VGA til DVI. Gullbelagte kontaktflater.;

Vinklet HDMI Kabel;98;https://adaptere.no/produkter/vinklet-hdmi-kabel;https://adaptere.no/productImages/vinklet-hdmi-kabel.jpg;bilde;in_stock;Vinklet HDMI kabel av god kvalitet. Gullbelagte kontaktflater.;

Vinklet Mini-HDMI Kabel;89;https://adaptere.no/produkter/vinklet-mini-hdmi-kabel;https://adaptere.no/productImages/vinklet-mini-hdmi-kabel.jpg;bilde;in_stock;Vinklet Mini HDMI til HDMI kabel. Kan benyttes som overgang mellom nevnte grensesnitt.;

XLR til Jack Adapter;79;https://adaptere.no/produkter/xlr-til-jack-adapter;https://adaptere.no/productImages/xlr-til-jack-adapter.jpg;lyd;in_stock;XLR (hunn) til Jack (hann) adapter/overgang. Kan benyttes som overgang mellom nevnte grensesnitt. Heavy duty konstruksjon.;

XLR til Minijack Kabel;89;https://adaptere.no/produkter/xlr-til-minijack-kabel;https://adaptere.no/productImages/xlr-til-minijack-kabel.jpg;lyd;not_in_stock;2x XLR til minijack (stereo) adapter kabel av god kvalitet.;

XLR til RCA Adapter;79;https://adaptere.no/produkter/xlr-til-rca-adapter;https://adaptere.no/productImages/xlr-til-rca-adapter.jpg;lyd;in_stock;XLR (hunn) til RCA (hann) adapter. Kan benyttes som overgang mellom nevnte grensesnitt. Heavy duty konstruksjon. Pris pr stk.;

